titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
LLaDA2.0-Uni: Unifying Multimodal Understanding and Generation with Diffusion Large Language Model,"We present LLaDA2.0-Uni, a unified discrete diffusion large language model (dLLM) that supports multimodal understanding and generation within a natively integrated framework. Its architecture combines a fully semantic discrete tokenizer, a MoE-based dLLM backbone, and a diffusion decoder. By discretizing continuous visual inputs via SigLIP-VQ, the model enables block-level masked diffusion for both text and vision inputs within the backbone, while the decoder reconstructs visual tokens into high-fidelity images. Inference efficiency is enhanced beyond parallel decoding through prefix-aware optimizations in the backbone and few-step distillation in the decoder. Supported by carefully curated large-scale data and a tailored multi-stage training pipeline, LLaDA2.0-Uni matches specialized VLMs in multimodal understanding while delivering strong performance in image generation and editing. Its native support for interleaved generation and reasoning establishes a promising and scalable paradigm for next-generation unified foundation models. Codes and models are available at https://github.com/inclusionAI/LLaDA2.0-Uni.",['cs.CV'],http://arxiv.org/abs/2604.20796v1,https://arxiv.org/pdf/2604.20796v1,22/04/2026-17:20:42,"['Inclusion AI', 'Tiwei Bie', 'Haoxing Chen', 'Tieyuan Chen', 'Zhenglin Cheng', 'Long Cui', 'Kai Gan', 'Zhicheng Huang', 'Zhenzhong Lan', 'Haoquan Li', 'Jianguo Li', 'Tao Lin', 'Qi Qin', 'Hongjun Wang', 'Xiaomei Wang', 'Haoyuan Wu', 'Yi Xin', 'Junbo Zhao']",cs.CV
"Automatic Ontology Construction Using LLMs as an External Layer of Memory, Verification, and Planning for Hybrid Intelligent Systems","This paper presents a hybrid architecture for intelligent systems in which large language models (LLMs) are extended with an external ontological memory layer. Instead of relying solely on parametric knowledge and vector-based retrieval (RAG), the proposed approach constructs and maintains a structured knowledge graph using RDF/OWL representations, enabling persistent, verifiable, and semantically grounded reasoning.
  The core contribution is an automated pipeline for ontology construction from heterogeneous data sources, including documents, APIs, and dialogue logs. The system performs entity recognition, relation extraction, normalization, and triple generation, followed by validation using SHACL and OWL constraints, and continuous graph updates. During inference, LLMs operate over a combined context that integrates vector-based retrieval with graph-based reasoning and external tool interaction.
  Experimental observations on planning tasks, including the Tower of Hanoi benchmark, indicate that ontology augmentation improves performance in multi-step reasoning scenarios compared to baseline LLM systems. In addition, the ontology layer enables formal validation of generated outputs, transforming the system into a generation-verification-correction pipeline.
  The proposed architecture addresses key limitations of current LLM-based systems, including lack of long-term memory, weak structural understanding, and limited reasoning capabilities. It provides a foundation for building agent-based systems, robotics applications, and enterprise AI solutions that require persistent knowledge, explainability, and reliable decision-making.",['cs.AI'],http://arxiv.org/abs/2604.20795v1,https://arxiv.org/pdf/2604.20795v1,22/04/2026-17:19:43,"['Pavel Salovskii', 'Iuliia Gorshkova']",cs.AI
Magnetic uncertainty in variable geometry,"In this paper, we study Hardy-type uncertainty principles and unique continuation properties for linear covariant Schrodinger equations with variable coefficients in the presence of bounded electric and magnetic potentials. Under suitable smallness assumptions on the leading coefficients, we prove that any solution exhibiting super-quadratic exponential decay at two distinct times must vanish identically. Under an additional structural assumption on the coefficient matrix $G$, we further establish a Hardy-type result at the quadratic exponential scale. We also obtain an analogous uniqueness result for the heat equation with variable-coefficient magnetic perturbations.
  Our results unify and extend previous works in two directions: they recover the constant-coefficient covariant case treated by Barcelo-Fanelli-Gutierrez-Ruiz-Vilela when $G=I$, and the variable-coefficient non-magnetic case considered by Federico-Li-Yu when $A=0$. The proofs combine logarithmic convexity arguments with Carleman estimates adapted to variable-coefficient covariant Schrödinger and parabolic flows. Although our approach follows the general strategy introduced by Escauriaza-Kenig-Ponce-Vega, substantial new difficulties arise from the interaction between the variable metric and the magnetic structure, which requires new weight functions and refined commutator estimates.",['math.AP'],http://arxiv.org/abs/2604.20794v1,https://arxiv.org/pdf/2604.20794v1,22/04/2026-17:19:38,"['Luca Fanelli', 'Yilin Song', 'Ying Wang', 'Jiqiang Zheng', 'Ruihan Zhou']",math.AP
Fresh Masking Makes NTT Pipelines Composable: Machine-Checked Proofs for Arithmetic Masking in PQC Hardware,"Post-quantum cryptographic (PQC) accelerators for ML-KEM (FIPS 203) and ML-DSA (FIPS 204) rely on pipelined Number Theoretic Transform (NTT) stages over $\mathbb{Z}_q$. Our prior work established structural dependency analysis at scale [1] and quantified the security margin of partial NTT masking [2]. Whether per-stage arithmetic masking guarantees pipeline-level security had no prior machine-checked answer for the r-bearing case: composition frameworks (ISW, t-SNI, PINI, DOM) were formalized exclusively for Boolean masking over $\mathrm{GF}(2)$; no proof assistant artifact addresses the NTT butterfly over $\mathbb{Z}_q$. We present three machine-checked results in Lean 4 with Mathlib, all zero sorry. First, we close a stated limitation of prior work: value-independence implies constant marginal distribution under fresh randomness (via an algebraic MutualInfoZero proxy). Second, butterfly per-context uniformity: for any Cooley-Tukey butterfly with fresh output mask over $\mathbb{Z}/q\mathbb{Z}$ ($q > 0$), each output wire has exactly one mask value producing each output, a uniform marginal independent of secrets, universal over all moduli, twiddle factors, and inputs. Third, a k-stage NTT pipeline with fresh per-stage masking satisfies per-context uniformity at every stage under the ISW first-order probing model. We document a named warning: pointwise value-independence is false for butterfly outputs. The Adams Bridge accelerator (CHIPS Alliance Caliptra) fails the fresh masking hypothesis, masking active only in INTT round 0, architecturally explaining its structural insecurity. Artifact: nine theorems, 1,738 build jobs, zero sorry. Composition for nonlinear gadgets (Barrett) is addressed in forthcoming manuscripts proving Barrett's PF-PINI(2) satisfaction ('one-bit barrier') [3] and k-stage composition for PF-PINI gadgets under fresh-mask renewal [4].",['cs.CR'],http://arxiv.org/abs/2604.20793v1,https://arxiv.org/pdf/2604.20793v1,22/04/2026-17:19:22,"['Ray Iskander', 'Khaled Kirah']",cs.CR
"Can ""AI"" Be a Doctor? A Study of Empathy, Readability, and Alignment in Clinical LLMs","Large Language Models (LLMs) are increasingly deployed in healthcare, yet their communicative alignment with clinical standards remains insufficiently quantified. We conduct a multidimensional evaluation of general-purpose and domain-specialized LLMs across structured medical explanations and real-world physician-patient interactions, analyzing semantic fidelity, readability, and affective resonance. Baseline models amplify affective polarity relative to physicians (Very Negative: 43.14-45.10% vs. 37.25%) and, in larger architectures such as GPT-5 and Claude, produce substantially higher linguistic complexity (FKGL up to 16.91-17.60 vs. 11.47-12.50 in physician-authored responses). Empathy-oriented prompting reduces extreme negativity and lowers grade-level complexity (up to -6.87 FKGL points for GPT-5) but does not significantly increase semantic fidelity. Collaborative rewriting yields the strongest overall alignment. Rephrase configurations achieve the highest semantic similarity to physician answers (up to mean = 0.93) while consistently improving readability and reducing affective extremity. Dual stakeholder evaluation shows that no model surpasses physicians on epistemic criteria, whereas patients consistently prefer rewritten variants for clarity and emotional tone. These findings suggest that LLMs function most effectively as collaborative communication enhancers rather than replacements for clinical expertise.","['cs.CL', 'cs.AI']",http://arxiv.org/abs/2604.20791v1,https://arxiv.org/pdf/2604.20791v1,22/04/2026-17:17:27,"['Mariano Barone', 'Francesco Di Serio', 'Roberto Moio', 'Marco Postiglione', 'Giuseppe Riccio', 'Antonio Romano', 'Vincenzo Moscato']",cs.CL
Working Memory Constraints Scaffold Learning in Transformers under Data Scarcity,"We investigate the integration of human-like working memory constraints into the Transformer architecture and implement several cognitively inspired attention variants, including fixed-width windows based and temporal decay based attention mechanisms. Our modified GPT-2 models are trained from scratch on developmentally plausible datasets (10M and 100M words). Performance is evaluated on grammatical judgment tasks (BLiMP) and alignment with human reading time data. Our results indicate that these cognitively-inspired constraints, particularly fixed-width attention, can significantly improve grammatical accuracy especially when training data is scarce. These constrained models also tend to show a stronger alignment with human processing metrics. The findings suggest that such constraints may serve as a beneficial inductive bias, guiding models towards more robust linguistic representations, especially in data-limited settings.","['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2604.20789v1,https://arxiv.org/pdf/2604.20789v1,22/04/2026-17:14:52,"['Pranava Madhyastha', 'Dagmar Adamcova']",cs.CL
Designing Approximate Binary Trees for Trees,"We study the following problem that is motivated by demand-aware network design: Given a tree~$G$, the task is to find a binary tree~$H$ on the same vertex set. The objective is to minimize the sum of distances in~$H$ between vertex pairs that are adjacent in~$G$. We present a linear-time factor-4 approximation for this problem.",['cs.DS'],http://arxiv.org/abs/2604.20786v1,https://arxiv.org/pdf/2604.20786v1,22/04/2026-17:13:04,"['Leon Kellerhals', 'Mitja Krebs', 'André Nichterlein', 'Stefan Schmid']",cs.DS
GeoRect4D: Geometry-Compatible Generative Rectification for Dynamic Sparse-View 3D Reconstruction,"Reconstructing dynamic 3D scenes from sparse multi-view videos is highly ill-posed, often leading to geometric collapse, trajectory drift, and floating artifacts. Recent attempts introduce generative priors to hallucinate missing content, yet naive integration frequently causes structural drift and temporal inconsistency due to the mismatch between stochastic 2D generation and deterministic 3D geometry. In this paper, we propose GeoRect4D, a novel unified framework for sparse-view dynamic reconstruction that couples explicit 3D consistency with generative refinement via a closed-loop optimization process. Specifically, GeoRect4D introduces a degradation-aware feedback mechanism that incorporates a robust anchor-based dynamic 3DGS substrate with a single-step diffusion rectifier to hallucinate high-fidelity details. This rectifier utilizes a structural locking mechanism and spatiotemporal coordinated attention, effectively preserving physical plausibility while restoring missing content. Furthermore, we present a progressive optimization strategy that employs stochastic geometric purification to eliminate floaters and generative distillation to infuse texture details into the explicit representation. Extensive experiments demonstrate that GeoRect4D achieves state-of-the-art performance in reconstruction fidelity, perceptual quality, and spatiotemporal consistency across multiple datasets.",['cs.CV'],http://arxiv.org/abs/2604.20784v1,https://arxiv.org/pdf/2604.20784v1,22/04/2026-17:12:02,"['Zhenlong Wu', 'Zihan Zheng', 'Xuanxuan Wang', 'Qianhe Wang', 'Hua Yang', 'Xiaoyun Zhang', 'Qiang Hu', 'Wenjun Zhang']",cs.CV
Physics-Conditioned Synthesis of Internal Ice-Layer Thickness for Incomplete Layer Traces,"Internal ice layers imaged by radar provide key evidence of snow accumulation and ice dynamics, but radar-derived layer boundary observations are often incomplete, with discontinuous traces and sometimes entirely missing layers, due to limited resolution, sensor noise, and signal loss. Existing graph-based models for ice stratigraphy generally assume sufficiently complete layer profiles and focus on predicting deeper-layer thickness from reliably traced shallow layers. In this work, we address the layer-completion problem itself by synthesizing complete ice-layer thickness annotations from incomplete radar-derived layer traces by conditioning on colocated physical features synchronized from physical climate models. The proposed network combines geometric learning to aggregate within-layer spatial context with a transformer-based temporal module that propagates information across layers to encourage coherent stratigraphy and consistent thickness evolution. To learn from incomplete supervision, we optimize a mask-aware robust regression objective that evaluates errors only at observed thickness values and normalizes by the number of valid entries, enabling stable training under varying sparsity without imputation and steering completions toward physically plausible values. The model preserves observed thickness where available and infers only missing regions, recovering fragmented segments and even fully absent layers while remaining consistent with measured traces. As an additional benefit, the synthesized thickness stacks provide effective pretraining supervision for a downstream deep-layer predictor, improving fine-tuned accuracy over training from scratch on the same fully traced data.",['cs.LG'],http://arxiv.org/abs/2604.20783v1,https://arxiv.org/pdf/2604.20783v1,22/04/2026-17:10:48,"['Zesheng Liu', 'Maryam Rahnemoonfar']",cs.LG
LAFA: A Framework for Reproducible Longitudinal Assessment of Protein Function Annotation Models,"Motivation: Protein function prediction is a challenging task and an open problem in computational biology. The Critical Assessment of protein Function Annotation (CAFA) is a triennial, community-driven initiative that provides an independent, large-scale evaluation of computational methods for protein function prediction through time-delayed benchmarking experiments. CAFA has played a key role in highlighting high-performing methodologies and fostering detailed analysis and exchange of ideas. However, outside the periodic CAFA challenges, there is no platform for the continuous evaluation of newly developed methods and tracking performance as function annotations accumulate.
  Results: Here we introduce the Longitudinal Assessment of Protein Function Annotation Models server (LAFA) as a persistent benchmarking system for protein function prediction methods. LAFA provides a continuous evaluation of containerized function prediction methods, enabling up-to-date and robust comparative assessment of method performance under evolving ground truth. LAFA accelerates methodological iteration, supports reproducibility, and offers a more dynamic and fine-grained view of progress in protein function prediction.
  Code and Data Availability: LAFA is available at https://functionbench.net/. Detailed evaluation results can be found at https://github.com/anphan0828/CAFA_forever","['q-bio.QM', 'q-bio.BM']",http://arxiv.org/abs/2604.20782v1,https://arxiv.org/pdf/2604.20782v1,22/04/2026-17:09:36,"['An Phan', 'Yanli Wang', 'Frimpong Boadu', 'Maxat Kulmanov', 'Robert Hoehndorf', 'Jianlin Cheng', 'Predrag Radivojac', 'Iddo Friedberg']",q-bio.QM
Designing a Visualization Atlas: Lessons & Reflections from The UK Co-Benefits Atlas for Climate Mitigation,"This paper reports on the process of designing the UK Co-Benefits Atlas, which communicates and publicizes data for climate mitigation. Visualization atlases -- an emerging type of platform to make data about complex topics comprehensive through interactive visualizations and explanatory content -- pose challenges beyond traditional visualization projects. Atlases must address diverse and often uncertain audiences and use cases, support both explanatory and guided exploration, and accommodate complex, evolving data. Over 10 months, our team of visualization and domain experts conducted 8 design workshops, iterative prototyping, 15 stakeholder onboarding sessions, and continuous reflection. These intertwined processes informed the development of the Atlas, comprising over 400 pages of visualizations and explanations. They also enabled a deeper understanding of how stakeholders may critically engage with the atlas in practice, in terms of interests, potential frictions when navigating huge amounts of data, and envisioned usage scenarios. Reflecting on our design process, we identify five driving forces in atlas design -- data, people, stories, context, and the atlas itself -- whose shifting dynamics influence different stages of visualization atlas design in different ways. Grounded in our case study, we discuss using these forces as a conceptual starting point for structuring and reflecting on future atlas design processes.",['cs.HC'],http://arxiv.org/abs/2604.20781v1,https://arxiv.org/pdf/2604.20781v1,22/04/2026-17:09:25,"['Jinrui Wang', 'Alexis Pister', 'Sian Phillips', 'Sarah Bissett', 'Ruaidhri Higgins-Lavery', 'Clare Wharmby', 'Andrew Sudmant', 'Uta Hinrichs', 'Benjamin Bach']",cs.HC
Relative Entropy Estimation in Function Space: Theory and Applications to Trajectory Inference,"Trajectory Inference (TI) seeks to recover latent dynamical processes from snapshot data, where only independent samples from time-indexed marginals are observed. In applications such as single-cell genomics, destructive measurements make path-space laws non-identifiable from finitely many marginals, leaving held-out marginal prediction as the dominant but limited evaluation protocol. We introduce a general framework for estimating the Kullback-Leibler divergence (KL) divergence between probability measures on function space, yielding a tractable, data-driven estimator that is scalable to realistic snapshot datasets. We validate the accuracy of our estimator on a benchmark suite, where the estimated functional KL closely matches the analytic KL. Applying this framework to synthetic and real scRNA-seq datasets, we show that current evaluation metrics often give inconsistent assessments, whereas path-space KL enables a coherent comparison of trajectory inference methods and exposes discrepancies in inferred dynamics, especially in regions with sparse or missing data. These results support functional KL as a principled criterion for evaluating trajectory inference under partial observability.",['cs.LG'],http://arxiv.org/abs/2604.20775v1,https://arxiv.org/pdf/2604.20775v1,22/04/2026-17:03:49,"['Chao Wang', 'Luca Nepote', 'Giulio Franzese', 'Pietro Michiardi']",cs.LG
General Relativity via differential forms -- explorations in Plebanski's Formalism for GR,"This thesis studies general relativity (GR) using chiral formulations, which take advantage of the decomposition of the four-dimensional Lorentz group into self-dual and anti-self-dual sectors. Within this framework, GR can be expressed using Plebanski's formulation, where the basic variables are triples of 2-forms rather than a metric, or alternatively through pure connection approaches. These viewpoints expose additional structure in Einstein's equations (EEs) and offer new analytical and numerical tools. Part I develops the geometric foundations using fibre bundles, where the 2-forms arise as soldering forms on an SO(3,C) bundle. Part II investigates the linearised form of EEs in the chiral setting, with particular attention to their gauge fixings. Part III extends this analysis to the nonlinear regime, and also examines the complex-geometric structure underlying black hole spacetimes. The final part turns to numerical relativity, exploring evolution schemes built from the chiral formulations and their associated gauge choices.","['gr-qc', 'math-ph']",http://arxiv.org/abs/2604.20772v1,https://arxiv.org/pdf/2604.20772v1,22/04/2026-16:58:59,['Adam Shaw'],gr-qc
Explicit Trait Inference for Multi-Agent Coordination,"LLM-based multi-agent systems (MAS) show promise on complex tasks but remain prone to coordination failures such as goal drift, error cascades, and misaligned behaviors. We propose Explicit Trait Inference (ETI), a psychologically grounded method for improving coordination. ETI enables agents to infer and track partner characteristics along two established psychological dimensions--warmth (e.g., trust) and competence (e.g., skill)--from interaction histories to guide decisions. We evaluate ETI in controlled settings (economic games), where it reduces payoff loss by 45-77%, and in more realistic, complex multi-agent settings (MultiAgentBench), where it improves performance by 3-29% depending on the scenario and model, relative to a CoT baseline. Additional analysis shows that gains are closely linked to trait inference: ETI profiles predict agents' actions, and informative profiles drive improvements. These results highlight ETI as a lightweight and robust mechanism for improving coordination in diverse multi-agent settings, and provide the first systematic evidence that LLM agents can (i) reliably infer others' traits from interaction histories and (ii) leverage structured awareness of others' traits for coordination.","['cs.AI', 'cs.MA']",http://arxiv.org/abs/2604.19278v2,https://arxiv.org/pdf/2604.19278v2,21/04/2026-09:48:23,"['Suhaib Abdurahman', 'Etsuko Ishii', 'Katerina Margatina', 'Divya Bhargavi', 'Monica Sunkara', 'Yi Zhang']",cs.AI
Encounter times of random walkers with simultaneous resetting on networks,"In this work, we study the dynamics of multiple random walkers on networks subject to a simultaneous resetting protocol, whereby all walkers are synchronously returned to their respective initial nodes. For this collective Markovian process, we derive exact analytical expressions for the mean first-encounter time, defined as the average time required for all walkers to meet for the first time at a given node. These results are formulated in terms of the eigenvalues and eigenvectors of the transition matrices governing the dynamics without resetting, providing a clear spectral interpretation of the impact of resetting on encounter processes. We further establish a general criterion for finite networks that determines when the introduction of a nonzero resetting probability reduces the mean first-encounter time and leads to an optimal resetting strategy. The theoretical predictions are illustrated through numerical results on regular and heterogeneous networks, for encounters involving two or more walkers, and for combinations of local and nonlocal dynamics. Our findings demonstrate that simultaneous resetting can significantly reduce encounter times for specific target nodes and initial conditions, while becoming ineffective for highly exploratory dynamics or distant targets. A comparison with independent resetting shows that simultaneous resetting is more efficient in homogeneous networks, whereas independent resetting can outperform it in heterogeneous structures, thereby revealing a trade-off between synchronization and exploration. The framework provides a unified approach to collective search and encounter problems on networks with resetting.",['cond-mat.stat-mech'],http://arxiv.org/abs/2604.20770v1,https://arxiv.org/pdf/2604.20770v1,22/04/2026-16:58:38,"['Cristian D. Suarez-Jimenez', 'Alejandro P. Riascos', 'Denis Boyer']",cond-mat.stat-mech
Primordial Magnetogenesis and Gravitational Waves from ALP-assisted Phase Transition,"Sufficiently strong first-order phase transitions (FOPTs) in the early Universe can simultaneously produce an observable stochastic gravitational wave background (SGWB) and a large-scale primordial magnetic field (PMF). The recent $3.8σ$ evidence for a non-zero intergalactic MF from anisotropic pair-halo searches using \textit{Fermi}-LAT data further motivates a cosmological origin of this MF. We investigate an FOPT-origin of both cosmic signatures, namely, PMF and SGWB, and the correlation between them, within a minimal axion-like particle (ALP) framework in which a global $U(1)$ symmetry is spontaneously broken through radiative corrections, with the ALP sector coupled to the Standard Model (SM) via Higgs-portal. We compute the present-day PMF amplitude and coherence length for both maximally helical and non-helical configurations, accounting for inverse cascade effects. For maximally helical configurations, we find peak field strengths up to $B_0 \sim 10^{-9}$ G at coherence length $λ_0 \sim 10^{-3}-10^{-1}$ Mpc, consistent with lower bounds on the IGMF inferred from blazar observations by MAGIC, H.E.S.S. and {\it Fermi}-LAT. We show that the ALP parameter region consistent with $γ$-ray blazar data (assuming maximal helicity) simultaneously produces SGWB detectable at future space-based interferometers, such as LISA, etc., over the ALP decay constant range $10^3~\text{GeV} \lesssim f_a \lesssim 10^5~\text{GeV}$. We directly map these onto effective ALP couplings to SM particles, e.g., photons, gluons, and fermions. This establishes a multi-messenger complementarity between cosmological observables and laboratory/astrophysical ALP searches, with the combined constraints preferring relatively heavy ALPs, $m_a \gtrsim 0.1~\text{GeV}$, in a regime accessible to next-generation intensity and energy-frontier experiments.","['hep-ph', 'astro-ph.CO', 'hep-th']",http://arxiv.org/abs/2604.20768v1,https://arxiv.org/pdf/2604.20768v1,22/04/2026-16:57:22,"['Pankaj Borah', 'P. S. Bhupal Dev', 'Anish Ghoshal']",hep-ph
RoLegalGEC: Legal Domain Grammatical Error Detection and Correction Dataset for Romanian,"The importance of clear and correct text in legal documents cannot be understated, and, consequently, a grammatical error correction tool meant to assist a professional in the law must have the ability to understand the possible errors in the context of a legal environment, correcting them accordingly, and implicitly needs to be trained in the same environment, using realistic legal data. However, the manually annotated data required by such a process is in short supply for languages such as Romanian, much less for a niche domain. The most common approach is the synthetic generation of parallel data; however, it requires a structured understanding of the Romanian grammar. In this paper, we introduce, to our knowledge, the first Romanian-language parallel dataset for the detection and correction of grammatical errors in the legal domain, RoLegalGEC, which aggregates 350,000 examples of errors in legal passages, along with error annotations. Moreover, we evaluate several neural network models that transform the dataset into a valuable tool for both detecting and correcting grammatical errors, including knowledge-distillation Transformers, sequence tagging architectures for detection, and a variety of pre-trained text-to-text Transformer models for correction. We consider that the set of models, together with the novel RoLegalGEC dataset, will enrich the resource base for further research on Romanian.","['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2604.19593v2,https://arxiv.org/pdf/2604.19593v2,21/04/2026-15:43:33,"['Mircea Timpuriu', 'Mihaela-Claudia Cercel', 'Dumitru-Clementin Cercel']",cs.CL
Repeated Matching Games: An Empirical Framework,"We introduce a model of dynamic matching with transferable utility, extending the static model of Shapley and Shubik (1971). Forward-looking agents have individual states that evolve with current matches. Each period, a matching market with market-clearing prices takes place. We prove the existence of an equilibrium with time-varying distributions of agent types and show it is the solution to a social planner's problem. We also prove that a stationary equilibrium exists. We introduce econometric shocks to account for unobserved heterogeneity in match formation. We propose two algorithms to compute a stationary equilibrium. We adapt both algorithms for estimation. We estimate a model of accumulation of job-specific human capital using data on Swedish engineers.",['econ.EM'],http://arxiv.org/abs/2510.02737v2,https://arxiv.org/pdf/2510.02737v2,03/10/2025-05:36:37,"['Pauline Corblet', 'Jeremy Fox', 'Alfred Galichon']",econ.EM
A provably stable numerical method for the anisotropic diffusion equation in confined magnetic fields: Curvilinear coordinates and multi-block domains,"We present a robust and accurate numerical method for the anisotropic diffusion equation in curvilinear coordinates. This study extends the recent work [Muir et al., Computer Physics Communications, 2025] for solving the anisotropic diffusion equation in magnetic fields from Cartesian meshes to to curvilinear coordinates and complex geometries. The method uses summation by parts with simultaneous approximation terms for computing the diffusion perpendicular to field lines. The diffusion along field lines is computed using a penalty approach, similar to a simultaneous approximation term, but applied across the volume. To extend the method to complex geometry we use a multi-block approach with piecewise smooth structured meshes. That is, the domain is split into sub-grids, with locally adjacent boundaries coupled weakly using penalties. We prove the semi-discrete stability for the curvilinear implementation by deriving discrete energy estimates. The approach is verified though a number of numerical tests, which demonstrate the convergence properties of the method in multi-domain approach. Finally, we present a qualitative result generated in complex geometry and magnetic field, which is generated by the Stepped Pressure Equilibrium Code.",['math.NA'],http://arxiv.org/abs/2604.20766v1,https://arxiv.org/pdf/2604.20766v1,22/04/2026-16:51:13,"['Dean Muir', 'Kenneth Duru', 'Stuart Hudson', 'Matthew Hole']",math.NA
CVEs With a CVSS Score Greater Than or Equal to 9,"Critical vulnerabilities with Common Vulnerability Scoring System scores of 9.0 or higher pose severe risks to organisations' information systems. Timely detection and remediation are essential to minimise economic and reputational damage from cyberattacks. This paper provides a thorough analysis of the identification and resolution timelines of such critical vulnerabilities. A mixed-methods approach is employed, integrating quantitative data from global vulnerability databases analysing 245,456 Common Vulnerabilities and Exposures records spanning from 2009 to 2024, of which 12.8 % were critical, with qualitative case studies of notable incidents. This methodical combination of quantitative and qualitative data sources enables the identification of patterns and delay factors in vulnerability management. The findings indicate significant delays in public disclosure and patch deployment, influenced by industry-specific factors, resource availability and organisational processes. The paper concludes with a series of actionable recommendations to improve the efficiency of vulnerability responses. Despite faster disclosure, the remediation gap for critical vulnerabilities remains a systemic risk, driven by organisational inertia and system complexity.",['cs.CR'],http://arxiv.org/abs/2604.20765v1,https://arxiv.org/pdf/2604.20765v1,22/04/2026-16:50:25,"['Lena Sinterhauf', 'Andreas Aßmuth', 'Roland Kaltefleiter']",cs.CR
Personalized electric vehicle energy consumption estimation framework that integrates driver behavior with map data,"This paper presents a personalized Battery Electric Vehicle (BEV) energy consumption estimation framework that integrates map-based contextual features with driver-specific velocity prediction and physics-based energy consumption modeling. The system combines route selection, detailed road feature processing, a rule-based reference velocity generator, a PID controller-based vehicle dynamics simulator, and a Bidirectional LSTM model trained to reproduce individual driving behavior. The predicted individual-specific velocity profiles are coupled with a quasi-steady backward energy consumption model to compute tractive power, regenerative braking, and State-of-Charge (SOC) evolution. Evaluation across urban, freeway, and hilly routes demonstrates that the proposed approach captures key driver behavioral patterns such as deceleration at intersections, speed-limit tracking, and road grade-dependent responses, while producing accurate power and SOC trajectories. The results highlight the effectiveness of combining learned driver behavior with map-based context and physics-based energy consumption modeling to produce accurate, personalized BEV SOC depletion profiles.","['eess.SY', 'cs.LG']",http://arxiv.org/abs/2604.20764v1,https://arxiv.org/pdf/2604.20764v1,22/04/2026-16:49:52,"['Sreechakra Vasudeva Raju Rachavelpula', 'Sangwhan Cha']",eess.SY
"Coverage, Not Averages: Semantic Stratification for Trustworthy Retrieval Evaluation","Retrieval quality is the primary bottleneck for accuracy and robustness in retrieval-augmented generation (RAG). Current evaluation relies on heuristically constructed query sets, which introduce a hidden intrinsic bias. We formalize retrieval evaluation as a statistical estimation problem, showing that metric reliability is fundamentally limited by the evaluation-set construction. We further introduce \emph{semantic stratification}, which grounds evaluation in corpus structure by organizing documents into an interpretable global space of entity-based clusters and systematically generating queries for missing strata. This yields (1) formal semantic coverage guarantees across retrieval regimes and (2) interpretable visibility into retrieval failure modes.
  Experiments across multiple benchmarks and retrieval methods validate our framework. The results expose systematic coverage gaps, identify structural signals that explain variance in retrieval performance, and show that stratified evaluation yields more stable and transparent assessments while supporting more trustworthy decision-making than aggregate metrics.","['cs.IR', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2604.20763v1,https://arxiv.org/pdf/2604.20763v1,22/04/2026-16:49:30,"['Andrew Klearman', 'Radu Revutchi', 'Rohin Garg', 'Rishav Chakravarti', 'Samuel Marc Denton', 'Yuan Xue']",cs.IR
Geometric Renyi Differential Privacy: Ricci Curvature Characterized by Heat Diffusion Mechanisms,"In this paper, we develop a novel privacy mechanism for Riemannian manifold-valued data. Our key contribution lies in uncovering unexpected connections among geometric analysis, heat diffusion models, and differential privacy (DP). We characterize the Renyi divergence via dimension-free Harnack inequalities on Riemannian manifolds and establish Renyi differential privacy guarantees governed by Ricci curvature. For manifolds with nonnegative Ricci curvature, we propose a mechanism based on heat diffusion. In contrast, for general manifolds we introduce a Langevin-process-based approach that yields intrinsic mechanisms supporting normalization-free sampling and continuous privacy-utility trade-offs. We derive detailed utility analyses for both mechanisms. As a statistical application, we develop privacy-preserving estimation of the generalized Frechet mean, including nontrivial sensitivity analysis and phase transition characterizations. Numerical experiments further demonstrate the advantages of the proposed DP mechanisms over existing approaches.","['stat.ML', 'stat.ME']",http://arxiv.org/abs/2604.20761v1,https://arxiv.org/pdf/2604.20761v1,22/04/2026-16:48:55,"['Xiaotian Chang', 'Yangdi Jiang', 'Cyrus Mostajeran', 'Qirui Hu']",stat.ML
